红黄牌,出场,场均关键传球,创造绝佳机会,场均争顶成功,评分,进球,场均射门,场均射正,把握机会能力,场均过人,场均被侵犯,场均越位,场均抢断,场均拦截,场均解围,场均封堵,场均造越位,场均犯规,致命失误,助攻,创造绝佳机会,场均关键传球,场均传球,传球成功率,前场传球成功率,场均夺回球权,射正率,进球率,把握机会能力,传球成功率,前场传球成功率,中场传球成功率,后场传球成功率,传中成功率,长传成功率,直塞成功率,致命失误/失误
2,2(5),0.1,-,0.1,6.18,1,0.4,0.3,-,0.3,0.3,-,0.3,0.1,-,-,0.1,0.9,-,-,-,0.1,10.1,79%,66%,1,67%,33%,-,79%,66%,86%,100%,-,40%,-,-
1,19(2),0.4,1,1.6,6.5,1,0.3,0.1,-,0.2,0.9,-,1.5,0.7,1.3,0.1,0.1,1.5,1,1,1,0.4,33,82%,73%,3.2,50%,17%,-,82%,73%,84%,89%,24%,39%,-,8%
4,15(7),0.7,-,0.6,6.6,-,0.8,0.1,-,0.8,1.5,0,1.1,0.8,0.3,0.3,0,1,-,1,-,0.7,25.3,84%,78%,3.2,17%,-,-,84%,78%,87%,88%,25%,57%,50%,-
6,16(7),0.5,-,0.4,6.39,-,0.3,-,-,0.2,0.6,-,1.3,1.3,0.6,0.2,-,1.4,-,-,-,0.5,33.9,88%,75%,3.5,-,-,-,88%,75%,91%,98%,33%,66%,-,-
3,19(2),0.4,-,1.2,6.35,-,0.4,0,-,0.3,0.4,-,0.9,0.9,1.5,0.6,0.2,1.3,-,-,-,0.4,36.8,80%,63%,5.1,13%,-,-,80%,63%,82%,90%,-,36%,-,-
0,7(4),0.9,2,0.2,6.59,1,0.5,0.1,-,1,0.5,-,0.5,0.3,0.2,-,-,0.2,-,1,2,0.9,17.6,84%,75%,1.5,20%,20%,-,84%,75%,91%,87%,50%,69%,-,-
3,13(3),0.2,-,1.9,6.41,-,0.2,-,-,0.1,0.4,-,0.8,0.6,2.3,0.3,0.2,1.3,-,-,-,0.2,29.2,82%,59%,2.3,-,-,-,82%,59%,83%,92%,-,46%,-,-
2,8(5),0.1,-,1.2,6.42,-,0.3,-,-,0.4,1.1,-,0.6,0.8,0.9,0.2,0.2,1.2,-,-,-,0.1,31.4,83%,78%,2.3,-,-,-,83%,78%,86%,85%,29%,40%,-,-
2,5(2),-,-,1.4,5.93,-,0.1,-,-,0.1,0.7,-,0.7,0.7,0.4,0.3,0.1,2.1,1,-,-,-,19.7,78%,71%,1.4,-,-,-,78%,71%,77%,92%,-,38%,-,20%
2,0(8),0.5,-,0.4,6.15,-,0.3,0.1,-,-,0.1,0.1,0.5,0.3,0.1,-,-,1,-,-,-,0.5,3.5,64%,50%,0.3,50%,-,-,64%,50%,80%,100%,-,-,-,-
1,1(1),-,-,0.5,6.53,-,-,-,-,-,1,-,1.5,1,-,-,-,2,-,-,-,-,15.5,81%,29%,2,-,-,-,81%,29%,95%,100%,-,33%,-,-
0,0(1),-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,20(1),0.7,4,1.1,7.4,12,3.6,1.4,54%,1.9,1.9,0.5,0.5,0.1,0.4,-,-,1,-,4,4,0.7,23.7,82%,78%,2.9,40%,16%,54%,82%,78%,86%,90%,12%,62%,33%,-
3,22,0.6,-,4.4,7.32,8,2.1,1.1,63%,0.2,0.7,0.2,1.4,1,2.5,0.4,0,2.1,1,3,-,0.6,48.3,85%,73%,6.6,52%,17%,63%,85%,73%,88%,96%,-,64%,-,4%
1,7,0.1,1,4.6,6.86,-,0.1,-,-,-,0.1,-,1.9,1.4,4.1,0.7,1,1.1,-,-,1,0.1,60.1,82%,46%,8,-,-,-,82%,46%,84%,96%,-,51%,-,-
2,24(1),1.7,5,6.2,7.79,17,3.4,1.7,78%,0.4,1.5,0.1,0.2,0,1.2,0,-,1,-,4,5,1.7,29.4,75%,66%,2.4,50%,20%,78%,75%,66%,82%,92%,50%,74%,-,-
0,5(3),1.4,1,0.9,6.85,1,1.5,0.8,50%,0.5,0.6,-,0.6,0.3,0.9,0.6,-,1.1,-,1,1,1.4,36,83%,74%,4,50%,8%,50%,83%,74%,87%,95%,67%,59%,-,-
0,10(9),0.9,5,0.1,6.8,2,1.1,0.4,-,0.7,0.6,0.1,1.4,0.4,0.1,-,-,0.7,-,5,5,0.9,24.1,81%,77%,3.6,33%,10%,-,81%,77%,83%,86%,29%,54%,100%,-
1,11(4),1.7,3,0.3,6.68,-,0.5,0.1,-,0.3,0.9,0.1,1.9,0.5,0.7,0.3,0.1,1.3,-,1,3,1.7,33.7,84%,78%,5.5,13%,-,-,84%,78%,88%,92%,35%,68%,-,-
2,20(3),2.3,7,0.9,7.21,1,0.6,0.2,-,1.2,1,0,1.9,1,0.6,0.3,-,1.1,-,5,7,2.3,45.9,86%,76%,6.3,29%,7%,-,86%,76%,91%,95%,46%,64%,-,-
1,23(2),0.8,-,1.4,6.9,-,0.4,0.1,-,0.8,0.6,-,2.2,1.4,1.8,0.3,0.2,1,1,1,-,0.8,38.3,81%,72%,4.9,22%,-,-,81%,72%,81%,89%,30%,51%,-,5%
1,8(9),1,6,0.3,6.7,1,0.9,0.2,-,0.8,0.8,0.2,1.3,0.4,0.4,0.1,-,0.9,-,4,6,1,18.2,80%,73%,3,25%,6%,-,80%,73%,83%,87%,24%,38%,-,-
0,20(3),0.4,1,0.5,6.58,-,0.2,0,-,0.3,0.4,-,1.3,1.2,1.7,0.1,0.2,0.6,1,-,1,0.4,35,82%,74%,4.7,20%,-,-,82%,74%,84%,90%,25%,48%,100%,10%
0,12(5),0.6,2,0.4,6.7,4,0.9,0.2,50%,0.6,0.9,0.2,0.9,-,0.4,-,-,0.5,-,3,2,0.6,15,80%,76%,2.5,25%,25%,50%,80%,76%,84%,81%,25%,50%,-,-
4,15(4),0.2,-,2,6.63,-,0.5,0.1,-,-,0.6,-,0.9,1.1,4,1.2,0.2,0.9,1,-,-,0.2,30.5,83%,58%,3.3,22%,-,-,83%,58%,85%,93%,67%,51%,-,100%
1,16,0.4,-,1.4,6.8,-,0.1,-,-,0.1,0.7,-,2.5,0.8,3.6,0.6,0.1,1.1,-,1,-,0.4,32.3,84%,69%,4.8,-,-,-,84%,69%,86%,90%,45%,53%,-,-
0,7(8),0.1,1,1.7,6.32,-,0.9,0.3,-,0.1,1.2,0.1,0.4,0.1,0.1,0.1,-,1.1,-,1,1,0.1,6.8,63%,51%,1,36%,-,-,63%,51%,65%,100%,-,100%,-,-
4,14(6),2.1,6,0.5,6.62,2,1.1,0.4,-,0.5,0.8,-,1.2,0.7,0.7,0.2,-,1,1,1,6,2.1,35.6,79%,67%,3,32%,9%,-,79%,67%,85%,88%,33%,55%,100%,4%
4,20,0.1,-,0.9,6.64,1,0.5,0.1,100%,0.3,0.4,-,2,1.7,4.2,0.6,0.6,1.6,-,1,-,0.1,31.1,77%,47%,3.9,11%,11%,100%,77%,47%,84%,86%,33%,46%,-,-
2,6(4),0.1,-,0.4,6.16,-,0.5,0.3,-,0.2,0.5,-,0.7,-,-,-,-,1.3,-,-,-,0.1,8.7,83%,71%,1,60%,-,-,83%,71%,89%,100%,10%,57%,-,-
2,7,0.3,-,1.7,6.56,-,-,-,-,0.4,1.6,0.1,1.7,0.4,1.1,0.3,0.3,1,-,-,-,0.3,44.4,80%,70%,4.6,-,-,-,80%,70%,83%,85%,37%,51%,-,-
1,3(1),0.5,1,0.3,6.5,-,0.5,0.3,-,0.5,0.8,-,0.8,0.5,1.3,-,0.3,1.8,-,1,1,0.5,27.3,73%,57%,2.3,50%,-,-,73%,57%,80%,88%,8%,50%,-,-
3,17(8),1,3,0.9,6.78,2,0.7,0.3,33%,0.6,0.7,0,1.4,1.2,1,0.2,0.1,1.3,-,3,3,1,25.5,80%,72%,3.2,39%,11%,33%,80%,72%,84%,88%,33%,41%,50%,-
0,0(2),1,1,-,6.49,-,-,-,-,0.5,0.5,-,-,-,-,-,-,0.5,-,1,1,1,6.5,92%,100%,1.5,-,-,-,92%,100%,100%,67%,29%,-,-,-
1,3(1),0.3,-,0.8,6.06,-,0.3,0.3,-,0.3,0.3,-,-,-,1,0.3,0.5,1.5,-,-,-,0.3,21.5,66%,69%,2.3,100%,-,-,66%,69%,73%,30%,17%,36%,-,-
1,5,-,-,1.4,6.62,-,0.2,-,-,0.4,1,-,1.6,1.2,1,0.6,0.2,1,-,-,-,-,37.8,87%,67%,3.6,-,-,-,87%,67%,94%,88%,-,67%,-,-
1,2,-,-,0.5,6.31,-,-,-,-,-,0.5,-,1,1,1.5,-,0.5,0.5,-,-,-,-,20.5,66%,63%,4,-,-,-,66%,63%,57%,90%,-,25%,-,-
2,7(9),0.7,1,0.6,6.66,2,0.9,0.3,50%,0.4,0.3,0.1,0.9,0.8,0.6,0.1,-,0.5,-,1,1,0.7,27.5,83%,71%,2.8,33%,13%,50%,83%,71%,86%,94%,55%,59%,-,-
0,4(3),0.1,1,0.3,6.08,-,0.3,-,-,0.1,0.4,0.1,0.3,-,0.1,-,-,0.9,-,-,1,0.1,5.3,70%,67%,0.6,-,-,-,70%,67%,65%,100%,40%,60%,-,-
0,0(7),0.4,1,0.6,6.25,-,0.3,0.1,-,0.3,0.1,-,0.3,-,0.1,-,-,0.7,-,1,1,0.4,4.1,76%,64%,0.9,50%,-,-,76%,64%,86%,75%,-,67%,-,-
0,0(1),-,-,-,5.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100%,100%,-,-,-,-,100%,100%,100%,-,-,-,-,-
3,22(5),0.6,3,1.9,6.74,7,2.3,0.9,50%,0.9,1.6,0.1,0.7,0.1,0.8,0.1,-,1.6,-,2,3,0.6,18.4,72%,59%,2.8,39%,11%,50%,72%,59%,78%,90%,-,33%,75%,-
1,11(4),0.8,2,1.7,7.03,8,2.7,1.3,58%,1.1,2.1,0.2,0.2,0.2,0.8,0.1,0.1,1.8,-,3,2,0.8,18.5,83%,74%,2.4,50%,20%,58%,83%,74%,86%,100%,-,67%,100%,-
4,21(2),1.1,7,1.4,7.28,12,2.3,1.3,53%,1.8,3.1,0.4,0.7,0.3,1.1,0.1,-,1.3,1,4,7,1.1,24,77%,69%,3.7,55%,23%,53%,77%,69%,82%,89%,47%,46%,100%,1%
10,24,0.2,1,2.5,6.87,1,0.3,0.1,-,0.3,0.3,0,1.5,1.3,4.3,0.5,0.8,1.3,1,1,1,0.2,41.7,80%,51%,4.9,25%,13%,-,80%,51%,81%,94%,50%,41%,100%,17%
2,24(10),0.9,3,0.8,6.47,4,0.9,0.4,33%,0.7,0.3,0.1,1.2,0.7,0.5,0.1,-,1,1,2,3,0.9,33.8,89%,78%,4.7,47%,13%,33%,89%,78%,93%,93%,-,67%,67%,2%
6,28,0.5,2,1,6.72,2,0.4,0.1,67%,0.6,0.9,0.1,2.7,0.8,1.4,0.3,0.1,1.2,-,2,2,0.5,28.7,77%,67%,2.5,36%,18%,67%,77%,67%,79%,86%,22%,39%,-,-
2,24,0.1,-,1.4,6.61,-,0,-,-,0.2,0.4,-,1.7,1,4.3,0.8,0.4,0.8,1,-,-,0.1,46,82%,50%,3.3,-,-,-,82%,50%,83%,91%,-,35%,-,13%
2,18(4),1.2,5,0.4,6.89,6,1.2,0.6,50%,0.6,1.4,0.1,1.1,0.7,0.4,0,-,0.8,-,3,5,1.2,29,81%,70%,3.4,50%,23%,50%,81%,70%,87%,92%,21%,45%,20%,-
2,29(1),2,10,0.6,6.8,1,0.9,0.2,-,0.2,1.4,-,1,1,0.8,0.1,-,0.9,2,5,10,2,57.8,83%,66%,5.2,19%,4%,-,83%,66%,91%,94%,37%,49%,44%,12%
5,27,0.2,-,1.3,6.49,-,0.3,-,-,0.1,0.9,0,1.4,0.7,3.3,0.4,0.2,0.9,-,-,-,0.2,45.4,82%,63%,3.3,-,-,-,82%,63%,84%,93%,15%,45%,-,-
0,2(9),0.2,1,0.5,6.18,1,0.3,0.1,100%,-,0.6,0.1,-,0.1,0.3,-,-,0.5,-,1,1,0.2,4.7,75%,41%,1.3,33%,33%,100%,75%,41%,90%,100%,-,100%,-,-
1,14(6),1,5,0.3,6.48,-,0.4,0.1,-,0.3,1.4,0.1,1.5,0.4,0.8,0.1,0.1,1,-,2,5,1,27.6,81%,71%,2.9,13%,-,-,81%,71%,86%,89%,32%,43%,100%,-
2,11,0.1,1,1.8,6.82,1,0.8,0.2,-,-,1,-,1.4,1.4,4.9,0.8,0.3,0.8,-,1,1,0.1,45.9,85%,38%,2.3,22%,11%,-,85%,38%,90%,95%,-,39%,-,-
0,14(6),0.5,4,0.9,6.58,1,0.2,0.1,-,0.6,1.4,-,1.3,0.9,0.6,0.2,-,1.5,-,1,4,0.5,26.3,81%,71%,2.1,25%,25%,-,81%,71%,84%,93%,33%,42%,100%,-
1,19(4),0.3,1,1.3,6.53,1,0.3,0.1,50%,0.1,0.6,-,1.3,0.9,1.7,0.4,0,1,1,1,1,0.3,37.2,86%,74%,3.6,43%,14%,50%,86%,74%,87%,91%,50%,63%,-,8%
0,4(9),0.3,-,0.4,6.22,-,0.3,0.1,-,0.1,0.5,0.2,0.7,0.1,0.4,-,-,0.2,-,-,-,0.3,4.8,78%,67%,0.8,25%,-,-,78%,67%,84%,71%,33%,75%,-,-
2,4(9),0.4,-,0.2,6.17,-,0.1,-,-,0.2,0.5,-,0.5,0.1,0.3,0.1,-,0.3,-,1,-,0.4,9,79%,71%,1,-,-,-,79%,71%,77%,93%,-,31%,-,-
1,1,-,-,2,6.84,-,-,-,-,-,-,-,5,-,2,-,-,1,-,-,-,-,66,92%,40%,6,-,-,-,92%,40%,95%,100%,-,50%,-,-
0,2(4),-,-,0.5,6.36,-,-,-,-,-,0.3,-,0.5,0.5,2.7,0.3,0.5,0.3,-,-,-,-,15.2,91%,-,0.3,-,-,-,91%,-,90%,100%,-,63%,-,-
0,1,-,-,1,6.27,-,1,-,-,1,2,-,-,-,-,-,-,2,-,-,-,-,58,84%,67%,4,-,-,-,84%,67%,90%,100%,20%,33%,-,-
0,4(2),0.2,-,0.3,6.17,1,0.7,0.2,-,-,-,-,-,-,-,-,-,0.2,-,-,-,0.2,3.7,73%,67%,0.5,25%,25%,-,73%,67%,80%,67%,-,50%,-,-
0,1,-,-,-,5.98,-,1,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-,29,83%,60%,-,-,-,-,83%,60%,93%,100%,-,33%,-,-
4,30,2,9,0.3,7.14,9,1.7,0.8,38%,1.8,3.7,0.8,0.5,0.4,0.1,-,0,1.2,-,9,9,2,27.4,82%,76%,4.1,46%,18%,38%,82%,76%,89%,85%,27%,63%,-,-
5,17(5),0.8,3,1.8,7.22,13,3.8,1.4,80%,1,1.4,0,0.7,0.3,0.5,0,-,1.5,-,2,3,0.8,16.3,69%,62%,1.9,37%,15%,80%,69%,62%,73%,94%,20%,62%,-,-
6,26,1.3,4,6.7,7.44,12,2.9,1,38%,0.3,3.6,0.1,1,0.3,1,0.3,-,3.2,-,2,4,1.3,30.3,63%,51%,3.6,33%,16%,38%,63%,51%,76%,82%,25%,51%,100%,-
2,13(1),0.3,1,1.5,6.52,-,0.7,0.1,-,0.1,0.4,-,0.7,2,3.5,0.3,0.4,0.9,-,-,1,0.3,34.1,87%,60%,3.4,10%,-,-,87%,60%,87%,97%,33%,53%,-,-
0,8(15),0.1,-,0.8,6.23,1,0.2,0,33%,0.2,0.5,0,0.6,0.3,0.3,0.1,-,0.3,-,-,-,0.1,5.4,64%,57%,0.9,25%,25%,33%,64%,57%,66%,75%,10%,20%,-,-
0,1(3),0.3,-,1.3,6.15,-,1,0.3,-,0.3,0.5,-,0.5,-,0.3,-,-,0.5,-,-,-,0.3,11.8,68%,75%,1,25%,-,-,68%,75%,59%,100%,-,100%,-,-
2,25(1),0.5,1,3.9,6.83,4,1.4,0.4,67%,0.5,0.7,0.2,1.1,1,1.9,0.2,0.2,1.6,-,1,1,0.5,34.3,79%,62%,3.2,30%,11%,67%,79%,62%,82%,91%,29%,54%,100%,-
1,27,0.2,-,2.4,6.61,-,0.2,0.1,-,0.1,0.6,-,1.1,0.9,4.1,0.6,0.5,0.6,1,-,-,0.2,47.7,84%,61%,4.8,50%,-,-,84%,61%,85%,95%,50%,59%,-,9%
6,26,1,4,1.1,6.84,-,0.4,0.1,-,0.5,0.8,0,2.2,1.4,1.8,0.2,0.2,1.2,1,5,4,1,48.5,83%,73%,5.1,27%,-,-,83%,73%,84%,90%,30%,50%,-,4%
3,13(7),0.4,1,0.2,6.21,-,0.2,0.1,-,0.1,0.6,-,0.8,0.7,0.5,0.1,0.1,0.3,1,-,1,0.4,30.1,87%,69%,3.7,33%,-,-,87%,69%,90%,99%,21%,68%,100%,50%
1,4(2),0.2,-,2.5,6.69,-,0.5,0.2,-,0.3,0.7,-,1.3,1.8,2.7,0.7,0.2,1,-,-,-,0.2,29,78%,53%,2.7,33%,-,-,78%,53%,75%,95%,-,25%,-,-
0,1(15),0.1,-,0.2,6.06,-,0.1,0.1,-,-,0.3,-,0.1,0.2,-,-,-,0.1,-,-,-,0.1,3.4,64%,45%,0.8,100%,-,-,64%,45%,73%,86%,-,38%,-,-
0,4(3),0.4,-,0.4,6.2,-,1.4,0.3,-,0.4,1.1,-,0.6,0.3,0.7,-,-,1,-,-,-,0.4,17.7,80%,65%,2.9,20%,-,-,80%,65%,86%,93%,9%,43%,-,-
0,4(2),1,-,0.5,6.51,-,0.7,-,-,1,1.5,-,1.7,0.8,-,-,-,0.8,-,-,-,1,20.5,87%,78%,3,-,-,-,87%,78%,91%,96%,36%,89%,-,-
0,3,1,-,0.3,6.29,-,1,-,-,1.3,1.7,0.3,1,-,0.3,-,-,0.7,-,-,-,1,26.7,78%,67%,2.7,-,-,-,78%,67%,87%,63%,31%,25%,-,-
1,16(1),0.7,-,0.8,6.7,-,0.6,0.3,-,0.5,0.3,-,1.3,0.8,2.5,0.2,0.1,0.8,-,1,-,0.7,31.9,76%,66%,3.8,45%,-,-,76%,66%,79%,88%,6%,41%,-,-
3,19(5),0.9,2,0.5,6.53,-,0.7,0.2,-,0.5,0.6,0.1,1.3,0.7,1.2,0.1,0,0.8,-,2,2,0.9,26.3,75%,61%,2.8,31%,-,-,75%,61%,82%,85%,20%,49%,-,-
0,0(1),-,-,1,6.25,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,10,70%,-,2,-,-,-,70%,-,83%,67%,-,-,-,-
1,0(1),-,-,-,6.25,-,-,-,-,-,-,-,-,-,4,-,-,2,-,-,-,-,9,67%,50%,3,-,-,-,67%,50%,80%,50%,-,-,-,-
0,1(5),0.3,1,-,6.09,-,0.2,-,-,0.2,0.2,-,0.2,0.5,0.2,0.2,-,0.3,-,-,1,0.3,4.3,81%,100%,0.5,-,-,-,81%,100%,67%,100%,14%,50%,-,-
0,0(2),-,-,0.5,6.06,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,6.5,92%,100%,-,-,-,-,92%,100%,100%,67%,-,100%,-,-
0,0(1),-,-,-,6.01,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
1,0(2),-,-,-,5.96,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,4.5,78%,50%,-,-,-,-,78%,50%,100%,-,-,-,-,-
1,21(4),1.4,4,0.6,7.02,8,2.1,0.9,60%,1.4,2.3,0.4,0.8,0.1,0.2,-,-,1.2,-,6,4,1.4,20.5,78%,71%,3.2,42%,15%,60%,78%,71%,87%,83%,20%,59%,-,-
0,1,-,-,2,7.71,1,1,1,-,1,3,-,1,-,1,-,-,2,-,-,-,-,4,50%,33%,2,100%,100%,-,50%,33%,100%,-,-,-,-,-
2,15,1.5,8,6.7,7.54,6,2.9,0.9,60%,1.2,2.7,0.6,0.3,0.2,1.2,0.2,0.1,2.5,-,4,8,1.5,23.1,54%,47%,3.2,33%,14%,60%,54%,47%,64%,79%,-,55%,-,-
5,19(2),0.6,4,1.4,7,10,2.8,1.2,90%,1.8,2.2,0.4,0.3,0.1,0.6,0.1,-,2,-,3,4,0.6,12.6,66%,52%,2.4,44%,17%,90%,66%,52%,81%,94%,-,64%,100%,-
3,26,2.3,7,0.9,7.48,7,1.9,0.9,50%,1.6,3,0.2,1.9,1.3,0.4,0.2,-,1.6,-,5,7,2.3,39,74%,62%,8.5,48%,14%,50%,74%,62%,82%,87%,27%,53%,60%,-
6,25(1),1.2,3,0.9,6.77,2,0.6,0.2,50%,0.2,1.1,0,2.5,1.2,1.3,0.4,0,2,2,3,3,1.2,34.5,76%,64%,4.8,38%,13%,50%,76%,64%,80%,88%,32%,41%,100%,8%
6,25,0.6,2,1,6.55,1,0.4,0.1,-,0.2,0.6,-,1.3,0.6,3.7,0.5,0.2,1,-,2,2,0.6,32.9,79%,60%,4.8,33%,11%,-,79%,60%,83%,93%,6%,48%,-,-
4,21(1),0.2,-,2.9,6.51,1,0.5,0.1,100%,0.2,0.8,0,1.2,1.1,3.8,0.7,0.1,1.3,1,-,-,0.2,25.8,74%,53%,3.6,30%,10%,100%,74%,53%,73%,89%,-,46%,-,17%
3,10(17),0.4,2,0.4,6.13,-,0.4,-,-,0.4,0.4,0.1,0.5,0.3,0.6,-,-,1.4,-,-,2,0.4,10.2,64%,60%,2.3,-,-,-,64%,60%,62%,86%,9%,32%,-,-
2,26(2),0.2,-,2.5,6.53,1,0.5,0.2,-,0.1,0.6,0.1,0.9,0.8,3.9,0.4,0.3,1.1,-,-,-,0.2,28.8,68%,44%,2.9,43%,7%,-,68%,44%,73%,84%,25%,32%,-,-
8,25,0.4,2,1.2,6.29,-,0.4,0.2,-,0.3,1.4,-,1.3,1.1,3.5,0.6,0.3,2,2,1,2,0.4,29.8,71%,58%,4.2,44%,-,-,71%,58%,75%,78%,35%,36%,-,10%
1,6(6),0.2,-,0.8,6.21,-,-,-,-,-,0.5,-,0.7,0.8,2,0.3,0.2,0.9,-,-,-,0.2,13.8,77%,56%,1.4,-,-,-,77%,56%,82%,88%,-,41%,-,-
